channel,tissue,status,timepoint,replicate,bias
cd11c,nodes,naive,14,3,0.34
cd11c,nodes,naive,14,4,0.34
cd11c,nodes,naive,14,5,0.34
cd11c,nodes,naive,14,6,0.34
cd11c,nodes,naive,14,7,0.34
cd11c,nodes,naive,14,8,0.34
cd11c,nodes,naive,30,1,0.34
cd11c,nodes,naive,30,2,0.34
cd11c,nodes,naive,30,3,0.34
cd11c,nodes,naive,30,4,0.34
cd11c,nodes,naive,30,5,0.34
cd11c,nodes,naive,30,6,0.34
cd11c,nodes,naive,30,7,0.34
cd11c,nodes,naive,30,8,0.34
cd11c,spleen,gl261,7,1,0.46
cd11c,spleen,gl261,7,2,0.46
cd11c,spleen,gl261,7,3,0.46
cd11c,spleen,gl261,7,4,0.46
cd11c,spleen,gl261,7,5,0.46
cd11c,spleen,gl261,7,6,0.46
cd11c,spleen,gl261,7,7,0.46
cd11c,spleen,gl261,7,8,0.46
cd11c,spleen,gl261,14,1,0.34
cd11c,spleen,gl261,14,2,0.34
cd11c,spleen,gl261,14,3,0.34
cd11c,spleen,gl261,14,4,0.34
cd11c,spleen,gl261,14,5,0.34
cd11c,spleen,gl261,14,6,0.34
cd11c,spleen,gl261,14,7,0.34
cd11c,spleen,gl261,14,8,0.34
cd11c,spleen,gl261,30,1,0.34
cd11c,spleen,gl261,30,3,0.34
cd11c,spleen,gl261,30,6,0.34
cd11c,spleen,gl261,30,2,0.34
cd11c,spleen,gl261,30,4,0.34
cd11c,spleen,gl261,30,5,0.34
cd11c,spleen,gl261,30,7,0.34
cd11c,spleen,gl261,30,8,0.34
cd11c,spleen,naive,7,1,0.46
cd11c,spleen,naive,7,2,0.46
cd11c,spleen,naive,7,3,0.46
cd11c,spleen,naive,7,4,0.46
cd11c,spleen,naive,7,5,0.46
cd11c,spleen,naive,7,6,0.46
cd11c,spleen,naive,7,7,0.46
cd11c,spleen,naive,7,8,0.46
cd11c,spleen,naive,14,1,0.34
cd11c,spleen,naive,14,2,0.34
cd11c,spleen,naive,14,3,0.34
cd11c,spleen,naive,14,4,0.34
cd11c,spleen,naive,14,5,0.34
cd11c,spleen,naive,14,6,0.34
cd11c,spleen,naive,14,7,0.34
cd11c,spleen,naive,14,8,0.34
cd11c,spleen,naive,30,1,0.34
cd11c,spleen,naive,30,2,0.34
cd11c,spleen,naive,30,3,0.34
cd11c,spleen,naive,30,4,0.34
cd11c,spleen,naive,30,5,0.34
cd11c,spleen,naive,30,6,0.34
cd11c,spleen,naive,30,7,0.34
cd11c,spleen,naive,30,8,0.34
cd11c,thymus,gl261,7,1,0.48
cd11c,thymus,gl261,7,2,0.48
cd11c,thymus,gl261,7,3,0.48
cd11c,thymus,gl261,7,4,0.48
cd11c,thymus,gl261,7,5,0.48
cd11c,thymus,gl261,7,6,0.48
cd11c,thymus,gl261,7,7,0.48
cd11c,thymus,gl261,7,8,0.48
cd11c,thymus,gl261,14,1,0.34
cd11c,thymus,gl261,14,2,0.34
cd11c,thymus,gl261,14,3,0.34
cd11c,thymus,gl261,14,4,0.34
cd11c,thymus,gl261,14,5,0.34
cd11c,thymus,gl261,14,6,0.34
cd11c,thymus,gl261,14,7,0.34
cd11c,thymus,gl261,14,8,0.34
cd11c,thymus,gl261,30,1,0.34
cd11c,thymus,gl261,30,3,0.34
cd11c,thymus,gl261,30,6,0.34
cd11c,thymus,gl261,30,2,0.34
cd11c,thymus,gl261,30,4,0.34
cd11c,thymus,gl261,30,5,0.34
cd11c,thymus,gl261,30,7,0.34
cd11c,thymus,gl261,30,8,0.34
cd11c,thymus,naive,7,1,0.48
cd11c,thymus,naive,7,2,0.48
cd11c,thymus,naive,7,3,0.48
cd11c,thymus,naive,7,4,0.48
cd11c,thymus,naive,7,5,0.48
cd11c,thymus,naive,7,6,0.48
cd11c,thymus,naive,7,7,0.48
cd11c,thymus,naive,7,8,0.48
cd11c,thymus,naive,14,1,0.34
cd11c,thymus,naive,14,2,0.34
cd11c,thymus,naive,14,3,0.34
